ride_id,rideable_type,started_at,ended_at,start_name,start_station_id,end_name,end_station_id,start_latitude,start_longitude,end_latitude,end_longitude,member_casual,trip_length,start_day,end_day
45AEA81BBB409FA1,classic_bike,2024-07-02 17:53:33.170,2024-07-02 18:05:35.618,Greene Ave & Throop Ave,4510.04,Suydam St & Knickerbocker Ave,4939.07,40.6894932,-73.942061,40.702013,-73.923769,member,12.040799999999999,Tuesday,Tuesday
D4FB2076D6891FFB,classic_bike,2024-07-06 22:32:56.809,2024-07-06 23:14:00.400,Fulton St & Broadway,5175.08,Broad St & Bridge St,4962.08,40.711066,-74.009447,40.70365182,-74.01167797,member,41.05985,Saturday,Saturday
6C8D67D14ADDACC2,electric_bike,2024-07-08 21:14:05.692,2024-07-08 21:58:24.092,Atlantic Ave & Fort Greene Pl,4354.07,Central Park S & Grand Army Plaza,6839.15,40.683743358,-73.976399779,40.764555,-73.973473,member,44.306666666666665,Monday,Monday
8E461720C910F91D,electric_bike,2024-07-08 17:16:26.275,2024-07-08 17:35:28.229,Wythe Ave & N 13 St,5558.04,Fulton St & Adams St,4637.06,40.722639203,-73.957134128,40.69241829257847,-73.98949474096298,member,19.032566666666664,Monday,Monday
2219B9EC82EE0166,classic_bike,2024-07-12 20:46:23.529,2024-07-12 21:25:16.920,12 Ave & W 40 St,6765.01,Cooper Square & Astor Pl,5712.03,40.76087502,-74.00277668,40.72951496224949,-73.99075269699097,member,38.88985,Friday,Friday
B0F40042D87FC89F,classic_bike,2024-07-11 07:51:44.070,2024-07-11 07:57:49.707,W 53 St & 10 Ave,6890.01,W 51 St & 6 Ave,6740.1,40.76669671,-73.99061728,40.7606597,-73.98042047,member,6.09395,Thursday,Thursday
D147BF85E2BFE80B,electric_bike,2024-07-01 21:11:29.738,2024-07-01 21:13:26.565,E 66 St & Madison Ave,6969.08,E 66 St & Madison Ave,6969.08,40.768211126,-73.968343258,40.76800889305947,-73.96845281124115,casual,1.9471166666666666,Monday,Monday
A9404A5BDFDB34F2,electric_bike,2024-07-12 19:19:48.790,2024-07-12 19:21:34.075,39 Ave & 56 St,6349.03,61 St & 39 Ave,6307.07,40.74838,-73.90699,40.7471,-73.9028,member,1.75475,Friday,Friday
82EF99E40E67F5F4,electric_bike,2024-07-04 15:21:26.581,2024-07-04 15:49:14.016,Broadway & W 25 St,6173.08,E 91 St & Park Ave,7344.05,40.742772698,-73.989180207,40.7835016,-73.955327,casual,27.790583333333334,Thursday,Thursday
997E54A6F2B74EE2,electric_bike,2024-07-08 15:26:34.470,2024-07-08 15:34:33.754,E 59 St & Madison Ave,6801.01,E 43 St & Madison Ave,6551.11,40.763714194,-73.971176982,40.75354681867074,-73.97896572947502,member,7.988066666666667,Monday,Monday
BA2D31472C7F3061,classic_bike,2024-07-03 17:37:24.615,2024-07-03 17:48:58.860,Pacific St & Nevins St,4362.04,Pearl St & York St,4895.15,40.6853761,-73.98302136,40.70140463410644,-73.98768022656441,member,11.57075,Wednesday,Wednesday
